,agency_name,county_name,ori
287,Somerville Police Department,SOMERSET,NJ0181800
288,Prosecutor: Morris County,MORRIS,NJ0148900
289,Deal Police Department,MONMOUTH,NJ0131000
290,Cumberland County Sheriff's Office,CUMBERLAND,NJ0060000
291,Teaneck Township Police Department,BERGEN,NJ0026000
292,Ogdensburg Police Department,SUSSEX,NJ0191600
293,Penns Grove Police Department,SALEM,NJ0170800
294,Shrewsbury Police Department,MONMOUTH,NJ0134500
295,Willingboro Township Police Department,BURLINGTON,NJ0031700
296,Mine Hill Township Police Department,MORRIS,NJ0142000
297,Livingston Township Police Department,ESSEX,NJ0071000
298,Port Authority of New York and New Jersey,N/A,NJNYPOA00
299,State Police: Ocean County,OCEAN,NJ015SP00
300,Cape May Police Department,CAPE MAY,NJ0050200
301,Alpha Police Department,WARREN,NJ0210200
302,Pennsauken Township Police Department,CAMDEN,NJ0042700
303,Long Branch Police Department,MONMOUTH,NJ0132500
304,Allentown Police Department,MONMOUTH,NJ0130200
305,Far Hills Police Department,SOMERSET,NJ0180700
306,East Brunswick Township Police Department,MIDDLESEX,NJ0120400
307,Tuckerton Police Department,OCEAN,NJ0153200
308,Bellmawr Police Department,CAMDEN,NJ0040400
309,Ridgefield Park Police Department,BERGEN,NJ0025000
310,Pemberton Police Department,BURLINGTON,NJ0032900
311,Burlington Township Police Department,BURLINGTON,NJ0030600
312,Rockaway Police Department,MORRIS,NJ0143400
313,Hopewell Township Police Department,MERCER,NJ0110600
314,Tinton Falls Police Department,MONMOUTH,NJ0133600
315,Prosecutor: Essex County,ESSEX,NJ0078900
316,Florham Park Police Department,MORRIS,NJ0141100
317,Verona Police Department,ESSEX,NJ0072000
318,West Wildwood Police Department,CAPE MAY,NJ0051300
319,Elizabeth Police Department,UNION,NJ0200400
320,Haddon Township Police Department,CAMDEN,NJ0041600
321,Cresskill Police Department,BERGEN,NJ0020800
322,South Bound Brook Police Department,SOMERSET,NJ0181900
323,Fair Haven Police Department,MONMOUTH,NJ0131300
324,Rutgers University: Camden,CAMDEN,NJ0043900
325,North Brunswick Township Police Department,MIDDLESEX,NJ0121500
326,Flemington Police Department,HUNTERDON,NJ0100900
327,Ocean Gate Police Department,OCEAN,NJ0152100
328,Tenafly Police Department,BERGEN,NJ0026100
329,Lumberton Township Police Department,BURLINGTON,NJ0031800
330,Morris Plains Police Department,MORRIS,NJ0142300
331,Division of Fish and Wildlife,N/A,NJ0111700
332,New Jersey Transit Police,N/A,NJ0073200
333,Spring Lake Police Department,MONMOUTH,NJ0134800
334,Morris County Sheriff's Office,MORRIS,NJ0140000
335,Scotch Plains Township Police Department,UNION,NJ0201600
336,Avalon Police Department,CAPE MAY,NJ0050100
337,"Franklin Township, Somerset County Police Department",SOMERSET,NJ0180800
338,Pine Hill Police Department,CAMDEN,NJ0042800
339,Loch Arbour Police Department,MONMOUTH,NJ0132400
340,Middlesex County College,MIDDLESEX,NJ0122600
341,Dunellen Police Department,MIDDLESEX,NJ0120300
342,Allenhurst Police Department,MONMOUTH,NJ0130100
343,Surf City Police Department,OCEAN,NJ0153100
344,Berlin Police Department,CAMDEN,NJ0040500
345,Millville Police Department,CUMBERLAND,NJ0061000
346,Ridgewood Police Department,BERGEN,NJ0025100
347,State Police: Atlantic County,ATLANTIC,NJ001SP00
348,Franklin Police Department,SUSSEX,NJ0190600
349,Chesterfield Township Police Department,BURLINGTON,NJ0030700
350,Neptune City Police Department,MONMOUTH,NJ0133500
351,Riverdale Police Department,MORRIS,NJ0143300
352,State Police: Gloucester County,GLOUCESTER,NJ008SP00
353,East Hanover Township Police Department,MORRIS,NJ0141000
354,Hopewell Police Department,MERCER,NJ0110500
355,Cranford Township Police Department,UNION,NJ0200300
356,West Cape May Police Department,CAPE MAY,NJ0051200
357,Demarest Police Department,BERGEN,NJ0020900
358,Haddonfield Police Department,CAMDEN,NJ0041700
359,Park Police: Union County,UNION,NJ0209100
360,Prosecutor: Ocean County,OCEAN,NJ0158900
361,Englishtown Police Department,MONMOUTH,NJ0131200
362,New Brunswick Police Department,MIDDLESEX,NJ0121400
363,Teterboro Police Department,BERGEN,NJ0026200
364,"Ocean Township, Ocean County Police Department",OCEAN,NJ0152000
365,State Police: Passaic County,PASSAIC,NJ016SP00
366,Sparta Township Police Department,SUSSEX,NJ0191800
367,"Mansfield Township, Burlington County Police Department",BURLINGTON,NJ0031900
368,Secaucus Police Department,HUDSON,NJ0090900
369,Lake Como Police Department,MONMOUTH,NJ0134700
370,Morris Township Police Department,MORRIS,NJ0142200
371,Essex County College,ESSEX,NJ0073100
372,Cape May County Sheriff's Office,CAPE MAY,NJ0050000
373,Roselle Park Police Department,UNION,NJ0201500
374,Green Brook Township Police Department,SOMERSET,NJ0180900
375,Jackson Township Police Department,OCEAN,NJ0151100
376,Warren County Sheriff's Office,WARREN,NJ0210000
377,Manasquan Police Department,MONMOUTH,NJ0132700
378,Colts Neck Township Police Department,MONMOUTH,NJ0130400
379,Pine Valley Police Department,CAMDEN,NJ0042900
380,Berlin Township Police Department,CAMDEN,NJ0040600
381,Helmetta Police Department,MIDDLESEX,NJ0120600
382,River Edge Police Department,BERGEN,NJ0025200
383,Roxbury Township Police Department,MORRIS,NJ0143600
384,Harding Township Police Department,MORRIS,NJ0141300
385,Prosecutor: Passaic County,PASSAIC,NJ0168900
386,Cinnaminson Township Police Department,BURLINGTON,NJ0030800
387,Oceanport Police Department,MONMOUTH,NJ0133800
388,Clark Township Police Department,UNION,NJ0200200
389,Pennington Police Department,MERCER,NJ0110800
390,Plumsted Township Police Department,OCEAN,NJ0152300
391,Ocean County Sheriff's Office,OCEAN,NJ0150000
392,Independence Township Police Department,WARREN,NJ0211200
393,Freehold Police Department,MONMOUTH,NJ0131500
394,Haddon Heights Police Department,CAMDEN,NJ0041800
395,Delanco Township Police Department,BURLINGTON,NJ0030900
396,Piscataway Township Police Department,MIDDLESEX,NJ0121700
397,State Police: Essex County,ESSEX,NJ007SP00
